,matchId,contestantId,playerId,matchName,shirtNumber,position,positionSide,formationPlace
6863,35l51noj0croxackk6i4d1zbo,4y5xl8r1nkg1n9hnjzo53v8xk,atinp3f6pvlr59xf815nfcl49,A. Ramírez,14,Substitute,,
6864,35l51noj0croxackk6i4d1zbo,4y5xl8r1nkg1n9hnjzo53v8xk,i930ztveqe4ze32h5urbspas,A. San Martín,25,Substitute,,
6865,35l51noj0croxackk6i4d1zbo,1f72vqlndphmzn45x0nhdqk3e,c3406ve6msvm8gq6ywhe32rx1,I. González,1,Goalkeeper,Centre,1
6866,35l51noj0croxackk6i4d1zbo,1f72vqlndphmzn45x0nhdqk3e,c3uuj40k4cyrz6elrli1ssgyd,N. Peñailillo,7,Defender,Left,3
6867,35l51noj0croxackk6i4d1zbo,1f72vqlndphmzn45x0nhdqk3e,8s6kouhsw3wr0s210r22t94np,G. Mencia,6,Defender,Left/Centre,6
6868,35l51noj0croxackk6i4d1zbo,1f72vqlndphmzn45x0nhdqk3e,3u8o54ozv8frmg0dct2uqnt1x,B. Ampuero,15,Defender,Centre/Right,5
6869,35l51noj0croxackk6i4d1zbo,1f72vqlndphmzn45x0nhdqk3e,6rrdxeucdgwlw1p7mr0gl64q2,B. Nieto,23,Defender,Right,2
6870,35l51noj0croxackk6i4d1zbo,1f72vqlndphmzn45x0nhdqk3e,aoz0966dxup25pg67nhvkszx1,G. Freitas,22,Defensive Midfielder,Left/Centre,4
6871,35l51noj0croxackk6i4d1zbo,1f72vqlndphmzn45x0nhdqk3e,cvgwdjc34ayove5oev1a0epk9,M. Collao,8,Defensive Midfielder,Centre/Right,8
6872,35l51noj0croxackk6i4d1zbo,1f72vqlndphmzn45x0nhdqk3e,8a06kc2fx1lr9nmjwishg6l79,J. Flores,10,Attacking Midfielder,Left,11
6873,35l51noj0croxackk6i4d1zbo,1f72vqlndphmzn45x0nhdqk3e,21yxomlpwzh54k7tivw3j457u,A. Souper,24,Attacking Midfielder,Centre,10
6874,35l51noj0croxackk6i4d1zbo,1f72vqlndphmzn45x0nhdqk3e,8davjer5vpeg0pa07h5mszzyt,E. Bello,20,Attacking Midfielder,Right,7
6875,35l51noj0croxackk6i4d1zbo,1f72vqlndphmzn45x0nhdqk3e,1pxq5s6wcmaf31abep37buz85,C. Muñoz,26,Striker,Centre,9
6876,35l51noj0croxackk6i4d1zbo,1f72vqlndphmzn45x0nhdqk3e,8q8f0c9hgtv9ibnkburojxyp5,S. Cordero,14,Substitute,,
6877,35l51noj0croxackk6i4d1zbo,1f72vqlndphmzn45x0nhdqk3e,aaszo5du5rzx4gjex9q5r2ajt,A. Cuadra,3,Substitute,,
6878,35l51noj0croxackk6i4d1zbo,1f72vqlndphmzn45x0nhdqk3e,2ddf8xxnqz6tehsqw5cg5x0b9,T. Figueroa,9,Substitute,,
6879,35l51noj0croxackk6i4d1zbo,1f72vqlndphmzn45x0nhdqk3e,6qtuyvswb6peytlot7n61o7h1,F. Hurtado,12,Substitute,,
6880,35l51noj0croxackk6i4d1zbo,1f72vqlndphmzn45x0nhdqk3e,5bj418xljvx94aqjw74f2wcet,C. Rojas,5,Substitute,,
6881,35l51noj0croxackk6i4d1zbo,1f72vqlndphmzn45x0nhdqk3e,46q7epouqsmoibpeh3qgamg2d,G. Tello,19,Substitute,,
6882,35l51noj0croxackk6i4d1zbo,1f72vqlndphmzn45x0nhdqk3e,auoha2xfik4deh4dphlrlvm22,A. Uribe,11,Substitute,,
6883,24po3gskaeax4azyjk30r3dka,cpqaizhc99tbsqm6h2cgampio,ba16wtzl7nbgtq9jl2it5suz9,G. Castellón,25,Goalkeeper,Centre,1
6884,24po3gskaeax4azyjk30r3dka,cpqaizhc99tbsqm6h2cgampio,d1pyzg0b7m97u6ng10ka998lx,C. Cuevas,15,Defender,Left,3
6885,24po3gskaeax4azyjk30r3dka,cpqaizhc99tbsqm6h2cgampio,dcfejgf51n1fxxds752s9koa1,I. Tapia,3,Defender,Left/Centre,6
6886,24po3gskaeax4azyjk30r3dka,cpqaizhc99tbsqm6h2cgampio,8ergr8nv2ljechtzrtcv6d0b9,N. Ramírez,5,Defender,Centre/Right,5
6887,24po3gskaeax4azyjk30r3dka,cpqaizhc99tbsqm6h2cgampio,4fnpaivagpwm6rmqsq5ipdcoa,J. Gutiérrez,27,Defender,Right,2
6888,24po3gskaeax4azyjk30r3dka,cpqaizhc99tbsqm6h2cgampio,748h26tk6u48g3iwpcwjsbe8l,C. Martínez,23,Midfielder,Left,11
6889,24po3gskaeax4azyjk30r3dka,cpqaizhc99tbsqm6h2cgampio,72s5nyjuxb6ydlq4kdybz3get,C. Sepúlveda,6,Midfielder,Left/Centre,8
6890,24po3gskaeax4azyjk30r3dka,cpqaizhc99tbsqm6h2cgampio,9l8hpz13d78bw7b77iclsnahh,I. Poblete,16,Midfielder,Centre/Right,4
6891,24po3gskaeax4azyjk30r3dka,cpqaizhc99tbsqm6h2cgampio,18ajcxwux2fx6dt7kzs6ehm95,J. Altamirano,14,Midfielder,Right,7
6892,24po3gskaeax4azyjk30r3dka,cpqaizhc99tbsqm6h2cgampio,2mv48xbwjnyqclrsgn2oedtjp,J. Sánchez,9,Striker,Left/Centre,9
6893,24po3gskaeax4azyjk30r3dka,cpqaizhc99tbsqm6h2cgampio,6ovbzzxyqz4b17scxmkisnvth,J. Escobar,7,Striker,Centre/Right,10
6894,24po3gskaeax4azyjk30r3dka,cpqaizhc99tbsqm6h2cgampio,efjep87i249016u2gusljv8ph,B. Gazzolo,13,Substitute,,
6895,24po3gskaeax4azyjk30r3dka,cpqaizhc99tbsqm6h2cgampio,bgt4tm3lqv82d5dq1fc1rrrv9,S. Martínez,21,Substitute,,
6896,24po3gskaeax4azyjk30r3dka,cpqaizhc99tbsqm6h2cgampio,dfszhlsfxw23vqsihkwimmxgp,B. Palmezano,10,Substitute,,
6897,24po3gskaeax4azyjk30r3dka,cpqaizhc99tbsqm6h2cgampio,93jw0w8ltzs7howa8fe5grn8q,M. Rodríguez,19,Substitute,,
6898,24po3gskaeax4azyjk30r3dka,cpqaizhc99tbsqm6h2cgampio,18b0lbzeccm6jefc63gy7hx49,Y. Urra,1,Substitute,,
6899,24po3gskaeax4azyjk30r3dka,cpqaizhc99tbsqm6h2cgampio,6eqxtayx7vsjujc8viicz987p,C. Valenzuela,8,Substitute,,
6900,24po3gskaeax4azyjk30r3dka,cpqaizhc99tbsqm6h2cgampio,6wx6czdlmupvciks7dg10e1ud,J. Verdugo,18,Substitute,,
6901,24po3gskaeax4azyjk30r3dka,9dqkgu00tn42928lrrxlis95a,8jrdmj8hp525w0ufsck4eshcl,J. Herrera,25,Goalkeeper,Centre,1
6902,24po3gskaeax4azyjk30r3dka,9dqkgu00tn42928lrrxlis95a,adl28qm975eh8twc47xds7845,D. Zúñiga,28,Defender,Left,3
