,matchId,contestantId,periodId,timeMin,timeMinSec,timestamp,type,decision,outcome,playerId
85,71dbke1yzqhkhru9gqno46nvu,1f72vqlndphmzn45x0nhdqk3e,2,74,73:04,2020-09-06T15:34:28Z,Card upgrade,Cancelled,Card upgraded,6rrdxeucdgwlw1p7mr0gl64q2
86,ber86pow1qdsaofbk7zf7udey,8rpjhpm2j1q7p40zfmlqpj8am,1,40,39:02,2020-10-02T19:38:23Z,Card upgrade,Cancelled,Card upgraded,7f1z0zw8ecsk04glhsdxl6ndh
87,bentjeoraqf0doi7k16xldhey,7gkwmrw0cjz0m168ouw00z4gy,1,45,44:38,2020-10-04T17:44:18Z,Penalty not awarded,Cancelled,Penalty,d3swiv7qjcdrnf2i6y5egz6qd
88,9oye8nfasqzjn0rhbkb0lm0ru,4y5xl8r1nkg1n9hnjzo53v8xk,1,19,18:26,2020-02-21T15:18:34Z,Penalty not awarded,Cancelled,Penalty,aoob5p543hjjcc0bpljyqct7t
89,9pz6fw8k6dahow8rddtrro7e2,cdj7tqbsake4a0ks5pwm23t23,2,64,63:21,2020-03-01T22:20:16Z,Goal not awarded,Cancelled,Goal,m1lbmlled2xtj2ilk4oiyrc9
90,9pz6fw8k6dahow8rddtrro7e2,8rpjhpm2j1q7p40zfmlqpj8am,2,81,80:39,2020-03-01T22:37:34Z,Card upgrade,Cancelled,Card upgraded,5in8ya35qsmdsmw09oianuh2h
91,9pz6fw8k6dahow8rddtrro7e2,cdj7tqbsake4a0ks5pwm23t23,2,95,94:59,2020-03-01T22:51:54Z,Goal awarded,Cancelled,No goal,5suxy8zywnnbalcujii6srdre
92,24m4r720dnd7dxo9r7ep138fe,8rpjhpm2j1q7p40zfmlqpj8am,1,29,28:45,2020-10-15T21:57:58Z,Penalty not awarded,Cancelled,Penalty,ea0e11ky6morei5ajpeamfwmh
93,9q5w4ab1jy7mwga65wmmnrl2i,hfu6x1260h62zj7xl6cn95hx,2,70,69:33,2020-02-28T23:00:19Z,Goal awarded,Cancelled,No goal,82ffef6lzygelxn9swn5pqzca
94,9p2f4vghjym3sljohurvpjdyi,2nxp7ufclxwbtaozvx5zj1zym,2,81,80:40,2020-02-23T16:40:51Z,Goal awarded,Confirmed,Goal,7i7ndyzz4xyarc47kcz2wpped
95,8hpebl4rdv4a4hs8k6raj0bo4,59d4d2m78t2lqabd1m7o90std,1,38,37:13,2020-10-31T22:08:29Z,Goal not awarded,Cancelled,Goal,abb1eu1hpcrox97w3z01nxrkl
96,8hpebl4rdv4a4hs8k6raj0bo4,59d4d2m78t2lqabd1m7o90std,2,81,80:10,2020-10-31T23:08:34Z,Penalty not awarded,Cancelled,Penalty,757f9x11lzcug3d6sn39d85wp
97,8hpebl4rdv4a4hs8k6raj0bo4,59d4d2m78t2lqabd1m7o90std,2,90,89:53,2020-10-31T23:18:17Z,Goal awarded,Cancelled,No goal,1udhwk2qkh23pl0vykuj8m7rp
98,194ksppj2qlhefg3bw621r3ai,cdj7tqbsake4a0ks5pwm23t23,2,73,72:30,2020-01-26T22:32:01Z,Penalty not awarded,Cancelled,Penalty,r2qjdlnjtjagkm5m1v1ulck5
99,e8bsx8f1zwmlk9q67akszuq22,2nxp7ufclxwbtaozvx5zj1zym,1,31,30:47,2020-03-07T15:31:17Z,Penalty not awarded,Confirmed,No penalty,47cw7z4p92y3ioalree2uvf85
100,e8bsx8f1zwmlk9q67akszuq22,2nxp7ufclxwbtaozvx5zj1zym,1,47,46:08,2020-03-07T15:46:37Z,Goal awarded,Cancelled,No goal,u17bw7ovt1wyrdyf18k2mkt1
101,723gg3nwo0crqukff3img3kh6,8puc16dm0ut6bvv6u6ivpe2ch,2,93,92:09,2020-09-09T23:21:04Z,Goal awarded,Cancelled,No goal,2qul5ulggaduqfdn1facph0b9
102,35q6ydmmyek2pccgcf5iib1g4,bd1veyn5g4r8zbaquf8b8pksp,1,41,40:53,2020-11-14T19:41:56Z,Penalty not awarded,Cancelled,Penalty,9hop4kpyrrkombigyebfbiifp
103,35q6ydmmyek2pccgcf5iib1g4,4wb893al733feakm9teqqqnlg,2,49,48:41,2020-11-14T20:08:48Z,Goal awarded,Cancelled,No goal,gr9yavamkh4wlc9tk0x4355h
104,35q6ydmmyek2pccgcf5iib1g4,bd1veyn5g4r8zbaquf8b8pksp,2,88,87:09,2020-11-14T20:47:16Z,Card upgrade,Cancelled,Card upgraded,62wv8ih6784cp0xhng2yv6b4l
105,e84v6l832ohamgmxob40jly0a,1zsb1ovzidi8rft1vzw4me71m,1,46,45:33,2020-03-10T21:46:30Z,Goal awarded,Cancelled,No goal,e9ku3q311eg5t8lrxfcof65m1
